Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
18Г2АФДпс;0,14 - 0,22;до 0,17;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0,08 - 0,15;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0,015 - 0,03;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: листовой прокат для элементов сварных конструкций
18Г2АФпс;0,14 - 0,22;до 0,17;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0,08 - 0,15;до 0,04;до 0,035;до 0,3;0;0;0;0;0,015 - 0,03;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: листовой прокат для несущих элементов сварных конструкций, работающих при переменных нагрузках в интервале температур до -60 °С.
18Г2С;0,14 - 0,23;0,6 - 0,9;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;"Использование в промышленности: арматура для армирования обычных и предварительно напряженных железобетонных конструкций ; Серьги, звенья, пальцы, траверсы, детали сцепок вагонеток и др. детали, работающие от -40 до +450 град."
1Х2М1;0,08 - 0,12;0,17 - 0,37;0,3 - 0,6;2 - 2,5;до 0,5;0;0;0;0,9 - 1,1;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для производства двухслойных листовых сталей
20ГС;0,17 - 0,22;1 - 1,5;1 - 1,5;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры периодического профиля, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
20ГС2;0,17 - 0,22;1,7 - 2,4;1 - 1,5;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры периодического профиля, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
20Х2Г2СР;0,16 - 0,26;0,75 - 1,55;1,4 - 1,8;1,4 - 1,8;до 0,3;0,02 - 0,08;0,015 - 0,05;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры класса А-VI, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
20ХГ2Т;0,19 - 0,26;0,4 - 0,7;1,5 - 1,9;0,9 - 1,7;до 0,3;0,02 - 0,08;0;0;0;0;0;до 0,045;до 0,045;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для изготовления арматуры периодического профиля
20ХГ2Ц;0,19 - 0,26;0,4 - 0,7;1,5 - 1,9;0,9 - 1,2;до 0,3;0;0;0;0;0;0;до 0,045;до 0,045;до 0,3;0;0,05 - 0,14;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для изготовления арматуры периодического профиля класса А-IV диаметром от 10 до 32 мм.
20ХГС2;0,17 - 0,22;1,7 - 2,4;1 - 1,5;0,8 - 1,2;до 0,3;0;0;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры периодического профиля, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
22Х2Г2АЮ;0,19 - 0,26;0,4 - 0,7;1,4 - 1,7;1,5 - 2,1;до 0,3;0,005 - 0,03;0,02 - 0,07;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0,015 - 0,03;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры класса А-VI, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
22Х2Г2Р;0,19 - 0,26;0,4 - 0,7;1,5 - 1,9;1,5 - 1,9;до 0,3;0,02 - 0,08;0,015 - 0,05;0;0;0;0;до 0,04;до 0,04;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры класса А-VI, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
23Х2Г2Т;0,19 - 0,26;0,4 - 0,7;1,4 - 1,7;1,35 - 1,7;до 0,3;0,02 - 0,08;0,015 - 0,05;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры класса А-V, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
